Generator,Regular Expression Pattern
ANTLR,or the code generated by ((PCCTS)|(SORCERER))
Apache Thrift,Autogenerated by Thrift Compiler \version
cake build,"This file is generated by `cake build`, do not edit it by hand."
Celerio,"Source code generated by Celerio, a Jaxio product"
Coco/R,"This file was generated with Coco/R Java, version: \version"
Doctrine ORM,This class was generated by the Doctrine ORM.
flex,A lexical scanner generated by flex
generateDS.py,Generated \timestamp by generateDS.py version \version
get_mozilla_ciphers.py.,This file was automatically generated by get_mozilla_ciphers.py.
GNATtest,"Do not edit any part of it, see GNATtest documentation for more details."
GNATtest,This package has been generated automatically by GNATtest.
Grunt,This file is autogenerated via the `commonjs` Grunt task. You can require() this file in a CommonJS environment.
JastAdd2,This file was generated with JastAdd2
JAX-WS,This class was generated by the JAX-WS RI.
JAXB-RI,This file was generated by JAXB-RI \version
Jflex,The following code was generated by JFlex \version
jni4Android,"This file is automatically generated by jni4android, do not modify."
MyEclipse Persistence Tools,Mapping file autogenerated by MyEclipse Persistence Tools
PrestaShop,Do not edit or add to this file if you wish to upgrade PrestaShop to newer versions in the future.
Pygments,This file is generated by itself.
RelaxNGCC,this file is generated by RelaxNGCC
SableCC,This file was generated by SableCC's ObjectMacro.
scripts/unicode.py,"NOTE: The following code was generated by ""scripts/unicode.py"", do not edit directly"
SWIG,Do not make changes to this file. Modify the SWIG interface file instead.
SWIG,This file is generated by SWIG. Please do *not* modify by hand.
SWIG,This file was automatically generated by SWIG version \version
TestGenerator,"This file ((is)|(and method are)) generated by TestGenerator, any edits will be overwritten by the next generation."
TI PinMux,This file was automatically generated on \timestamp by TI PinMux version \version
ucd-generate,DO NOT EDIT THIS FILE. IT WAS AUTOMATICALLY GENERATED BY:
Unknown,"<p><b> Auto-generated, do not edit. </b></p>"
Unknown,DO NOT EDIT THIS FILE - it is machine generated
Unknown,"Do not edit this file directly, it is built from the sources at \link"
Unknown,This code was generated by
Unknown,This file has been automatically generated from \class
