Generator,Regular Expression Pattern
Ant generate,"perform the desired modifications there and re-generate by ""ant generate""."
ANTLR,ANTLR \version
Apache Axis,This file was auto-generated from WSDL by the Apache Axis (\version \timestamp )?WSDL2Java emitter.
Apache Cayenne,"It is (probably )?a good idea to avoid changing this class manually(,)? since it (((may)|(will)) )be overwritten next time code is regenerated. If you need to make any customizations(,)? (((please use)|(put them in a)) )subclass."
Apache Thrift,Autogenerated by Thrift DO NOT EDIT UNLESS YOU ARE SURE THAT YOU KNOW WHAT YOU ARE DOING
Castor,"This class was automatically generated with <a href=""http://www.castor.org"">Castor \version</a>, using an XML Schema."
com.ibm.icu.text.Normalizer,THIS FILE WAS MACHINE GENERATED DO NOT EDIT BY HAND
Compiere, Generated (Model|VO) ((for)|(- DO NOT CHANGE))
CUP,CUP \version generated parser. @version \timestamp
CUP,CUP generated class containing symbol constants.
CUP,The following code was generated by CUP
Hibernate,Auto-generated using Hibernate hbm2java tool.
IDL-to-Java compiler,Generated by the IDL-to-Java compiler
Java Annotation,@generated
JavaCC,Generated By:JavaCC: Do not edit this line.
JavaCC,The actual parser implementing this interface is generated from JavaCC grammar.
JavaCC,This class is generated by JavaCC.
JavaCC JJTree,Generated By:JJTree&JavaCC: Do not edit this line.
JavaNCSS,WARNING TO \project DEVELOPERS DO NOT MODIFY THIS FILE! MODIFY THE FILES UNDER THE JAVANCSS DIRECTORY LOCATED AT THE ROOT OF THE \project PROJECT. FOLLOW THE PROCEDURE FOR MERGING THE LATEST JAVANCSS INTO \project LOCATED AT javancss/coberturaREADME.txt
JAXB,"This file was generated by the JavaTM Architecture for XML Binding\(JAXB\) Reference Implementation,( \version See <a href=""http://java.sun.com/xml/jaxb""> http://java.sun.com/xml/jaxb</a> Any modifications to this file will be lost upon recompilation of the source schema. Generated on: \timestamp)?"
JAXRPC,"This class was generated by the JAXRPC SI, do not edit."
JAXWS,This class was generated by the JAXWS SI.
Jena vocabulary generator,Vocabulary Class generated by Jena vocabulary generator
JFlex,NOTE: This class was automatically generated. DO NOT MODIFY.
JFlex,The following code was generated by JFlex \version on \timestamp
JFlex,"This class is a scanner generated by <a href=""http://www.jflex.de/"">JFlex</a> \version on \timestamp from the specification file "
JJTree,<p>Generated by JJTree</p>
JJTree,Automatically generated by JJTree
JJTree,Generated By:JJTree: Do not edit this line.
Junit,suite method automatically generated by JUnit module
Junit,TODO review the generated test code and remove the default call to fail.
Moman FineNight,The following code was generated with the moman/finenight pkg
NetBeans Eclipse,Do NOT modify this code. The content of this method is always regenerated by the Form( )?Editor.
org.eclipse.emf.examples.generator.validator,It was generated by the org.eclipse.emf.examples.generator.validator plug-in to illustrate how EMF's code generator can be extended.
org.geotools.resources.IndexedResourceCompiler,THIS IS AN AUTOMATICALLY GENERATED FILE.
SableCC,This file was generated by SableCC (\(http://www.sablecc.org/\).)?
schemagen,@author Auto-generated by schemagen on \timestamp
Snowball,This class was automatically generated by a Snowball to Java compiler It implements the stemming algorithm defined by a snowball script.
Snowball,This file was generated automatically by the Snowball to Java compiler
Together,Generated by Together
Unknown,@author Jorg Janke \(generated\)
Unknown,Generated file - Do not edit!
Unknown,NOTE: This source is automatically generated please do not modify this file.  Either subclass or remove the record
Unknown,this code is autogenerated - you shouldnt be modifying it!
Unknown,"This file has been automatically generated, DO NOT EDIT"
Unknown,"WARNING: This file was automatically generated. Do not edit it directly,"
Xdoclet,Generated by Xdoclet - Do not edit!
